"Measurement outcome","Frequency"
"0x20000013","1"
"0x2000002","1"
"0x20000022","1"
"0x2000003","1"
"0x20000032","1"
"0x20000100","1"
"0x20000101","2"
"0x20000102","1"
"0x20000113","1"
"0x20000120","1"
"0x20000123","1"
"0x20000141","1"
"0x20000163","1"
"0x2000022","1"
"0x2000023","1"
"0x2000040","1"
"0x20000410","1"
"0x2000043","1"
"0x20000502","1"
"0x20000520","1"
"0x2000071","1"
"0x20000802","1"
"0x20000910","1"
"0x20000d02","1"
"0x20001","1"
"0x20001001","1"
"0x2000101","1"
"0x2000102","1"
"0x20001043","1"
"0x2000120","1"
"0x2000123","1"
"0x2000140","1"
"0x20001410","1"
"0x20001502","1"
"0x20001533","1"
"0x20001541","1"
"0x20002061","1"
"0x20002101","1"
"0x20002410","1"
"0x20002412","1"
"0x20002422","1"
"0x20002832","1"
"0x20003100","1"
"0x20003110","1"
"0x20003143","1"
"0x20003400","1"
"0x20003501","1"
"0x20004012","1"
"0x20004102","1"
"0x20004103","1"
"0x20004112","1"
"0x20004121","1"
"0x20004131","1"
"0x20004133","1"
"0x20004141","1"
"0x2000441","1"
"0x2000443","1"
"0x20004452","1"
"0x20004570","1"
"0x20004813","1"
"0x20004840","1"
"0x20005001","1"
"0x20005003","1"
"0x2000502","1"
"0x20005032","1"
"0x20005053","1"
"0x20005141","1"
"0x20006043","1"
"0x20006103","1"
"0x20006413","1"
"0x20006501","1"
"0x20006843","1"
"0x20006852","1"
"0x20006901","1"
"0x20006941","1"
"0x20006d03","1"
"0x2000801","1"
"0x2000903","1"
"0x2000d02","1"
"0x2000d442","1"
"0x2001","1"
"0x20010","2"
"0x20010002","1"
"0x20010003","1"
"0x20010012","1"
"0x20010022","1"
"0x20010042","1"
"0x20010051","1"
"0x20010120","1"
"0x20010140","1"
"0x20010151","1"
"0x2001022","1"
"0x20010401","1"
"0x20010540","1"
"0x20010833","1"
"0x20010911","1"
"0x20010921","1"
"0x20010c42","1"
"0x20010d11","1"
"0x20011102","1"
"0x20011462","1"
"0x20011503","1"
"0x2001151","1"
"0x20011512","1"
"0x20012043","1"
"0x20012100","1"
"0x20012111","1"
"0x20012502","1"
"0x20012803","1"
"0x20012842","1"
"0x20012961","1"
"0x20012c61","1"
"0x20013171","1"
"0x20013440","1"
"0x20013840","1"
"0x20013901","1"
"0x20014101","1"
"0x20014102","1"
"0x20014411","2"
"0x20014871","1"
"0x20014903","1"
"0x20014952","1"
"0x20014d02","1"
"0x2001500","1"
"0x20015003","1"
"0x2001501","1"
"0x20015012","1"
"0x20015043","1"
"0x20015073","1"
"0x20015102","1"
"0x20015523","1"
"0x20016802","1"
"0x20016820","1"
"0x20017022","1"
"0x20017053","1"
"0x20017860","1"
"0x2001c941","1"
"0x2001f173","1"
"0x2002","1"
"0x2002011","1"
"0x20020131","1"
"0x20020150","1"
"0x2002022","1"
"0x20020433","1"
"0x20020450","1"
"0x20020500","3"
"0x20020560","1"
"0x2002100","1"
"0x20021003","1"
"0x2002110","1"
"0x20021142","1"
"0x20021801","1"
"0x20021813","1"
"0x20022011","1"
"0x20022040","1"
"0x20022043","1"
"0x20022102","1"
"0x20022c63","1"
"0x20024000","1"
"0x20024001","1"
"0x20024003","1"
"0x20024062","1"
"0x20024101","1"
"0x20024402","1"
"0x20024503","1"
"0x20024820","1"
"0x20024c22","1"
"0x20024d51","1"
"0x2002502","1"
"0x2002540","1"
"0x20025411","1"
"0x20025412","1"
"0x20025422","1"
"0x20025500","1"
"0x20026002","1"
"0x20026022","1"
